ciclo,ramo,unidad_resp,clave,nombre_actual,nombre_ant,ano_inicio,ano_oper,derecho_bienestar_directo,derecho_bienestar_indirecto,areas_atencion,objetivo,eje_alineado,tema_alineado,indicador_alineado,programa_alineado,sexo,etapa,grupos,ambito,apoyos,modo_apoyos,unidad_territorial,entidades,difinida_pp,medida_pp,cuantific_pp,definida_po,medida_po,cuantific_po,definida_pa,medida_pa,cuantific_pa,cobertura,eficiencia,presupuesto_original,presupuesto_modificado,presupuesto_ejercido
2014,educacion publica,direccion general de centros de formacion para el trabajo,e005,formacion y certificacion para el trabajo,formacion y certificacion para el trabajo,2007,2014,educacion,trabajo,ambito laboral,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,desarrollar el potencial humano de los mexicanos con educacion de calidad,numero de certificados de competencia laboral emitidos,"fortalecer la calidad y pertinencia de la educacion media superior, superior y formacion para el trabajo, a fin de que contribuyan al desarrollo de mexico",ambos,personas adultas,jovenes | personas adultas,urbano,capacitacion,ambos,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,personas,NA,1,personas,NA,1,persona capacitada,NA,NA,NA,2648.45,2509.68,2509.68
2014,educacion publica,colegio de bachilleres,e007,prestacion de servicios de educacion media superior,prestacion de servicios de educacion media superior,2007,2014,educacion,bienestar economico,servicios educativos,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,garantizar la inclusion y la equidad en el sistema educativo,tasa bruta de escolarizacion de educacion media superior y superior,"asegurar mayor cobertura, inclusion y equidad educativa entre todos los grupos de la poblacion para la construccion de una sociedad mas justa",ambos,jovenes,estudiantes,urbano,servicios educativos,no monetario,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | oaxaca | puebla | quintana roo | san luis potosi | sonora | tamaulipas | tlaxcala | veracruz | zacatecas,1,estudiantes,6736349.422,1,estudiantes,2218096.0,1,estudiantes,240881.0,3.58,10.86,7021.29,7033.31,7033.31
2014,educacion publica,direccion general de educacion tecnologica agropecuaria,e008,prestacion de servicios de educacion tecnica,prestacion de servicios de educacion tecnica,2007,2014,educacion,NA,servicios educativos,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,garantizar la inclusion y la equidad en el sistema educativo,tasa bruta de escolarizacion de educacion media superior y superior,"asegurar mayor cobertura, inclusion y equidad educativa entre todos los grupos de la poblacion para la construccion de una sociedad mas justa",ambos,jovenes,estudiantes,ambos,servicios educativos,no monetario,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,estudiantes,6736349.422,1,estudiantes,1632232.0,1,estudiantes,1137241.0,16.88,69.67,26264.53,28414.35,28413.32
2014,educacion publica,subsecretaria de educacion media superior,e009,programa de formacion de recursos humanos basados en competencias (proforhcom),programa de formacion de recursos humanos basados en competencias,2007,2014,educacion,trabajo,servicios educativos,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,garantizar la inclusion y la equidad en el sistema educativo,tasa bruta de escolarizacion de educacion media superior y superior,"asegurar mayor cobertura, inclusion y equidad educativa entre todos los grupos de la poblacion para la construccion de una sociedad mas justa",ambos,NA,estudiantes,ambos,becas | equipamiento | capacitacion,ambos,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,estudiantes,78196248,1,estudiantes,37232640.0,1,estudiantes,1154317.0,1.48,3.1,16.85,108.63,108.63
2014,educacion publica,universidad nacional autonoma de mexico,e010,prestacion de servicios de educacion superior y posgrado,prestacion de servicios de educacion superior y posgrado | universidad virtual | proyectos de prestacion de servicios a largo plazo.,2007,2014,educacion,bienestar economico,servicios educativos,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,garantizar la inclusion y la equidad en el sistema educativo,tasa bruta de escolarizacion de educacion media superior y superior,"asegurar mayor cobertura, inclusion y equidad educativa entre todos los grupos de la poblacion para la construccion de una sociedad mas justa",ambos,jovenes,estudiantes,ambos,servicios educativos,no monetario,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,estudiantes,3423831,1,estudiantes,2379171.0,1,estudiantes,868658.0,25.37,36.51,43777.37,45415.66,45414.92
2014,educacion publica,consejo nacional para la cultura y las artes,e011,impulso al desarrollo de la cultura,impulso al desarrollo de la cultura,2007,2014,educacion,NA,cultura,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,ampliar el acceso a la cultura como un medio para la formacion integral de los ciudadanos,proporcion de estudiantes beneficiados con los servicios y actividades artisticos y culturales,promover y difundir el arte y la cultura como recursos formativos privilegiados para impulsar la educacion integral,ambos,toda la poblacion,toda la poblacion,urbano,actividades recreativas y culturales,no monetario,entidades federativas,NA,1,personas,126616329,1,personas,36325534.0,1,personas,NA,NA,NA,5881.35,5685.5,5684.28
2014,educacion publica,instituto nacional de antropologia e historia,e012,"incorporacion, restauracion, conservacion y mantenimiento de bienes patrimonio de la nacion","incorporacion, restauracion, conservacion y mantenimiento de bienes patrimonio de la nacion",2007,2014,educacion,NA,cultura,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,ampliar el acceso a la cultura como un medio para la formacion integral de los ciudadanos,proporcion de estudiantes beneficiados con los servicios y actividades artisticos y culturales,promover y difundir el arte y la cultura como recursos formativos privilegiados para impulsar la educacion integral,NA,NA,bienes inmuebles y/o patrimonio cultural,urbano,conservacion y registro de bienes artisticos,no monetario,localidades,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,recintos historicos y obras artisticas,NA,1,recintos historicos y obras artisticas,NA,1,recintos historicos y obras artisticas,NA,NA,NA,2067.09,2302.55,2302.52
2014,educacion publica,"television metropolitana, s.a. de c.v.",e013,produccion y transmision de materiales educativos y culturales,produccion y transmision de materiales educativos y culturales,2002,2014,educacion,NA,cultura,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,ampliar el acceso a la cultura como un medio para la formacion integral de los ciudadanos,proporcion de estudiantes beneficiados con los servicios y actividades artisticos y culturales,promover y difundir el arte y la cultura como recursos formativos privilegiados para impulsar la educacion integral,ambos,toda la poblacion,toda la poblacion,ambos,actividades recreativas y culturales,no monetario,entidades federativas,NA,1,personas,NA,0,personas,NA,0,NA,NA,NA,NA,1265.43,1255.98,1250.93
2014,educacion publica,fondo de cultura economica y educal s.a de c.v.,e016,"produccion y distribucion de libros, materiales educativos, culturales y comerciales","produccion y distribucion de libros, materiales educativos, culturales y comerciales",2007,2014,educacion,NA,desarrollo cultural,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,ampliar el acceso a la cultura como un medio para la formacion integral de los ciudadanos,proporcion de estudiantes beneficiados con los servicios y actividades artisticos y culturales,promover y difundir el arte y la cultura como recursos formativos privilegiados para impulsar la educacion integral,ambos,toda la poblacion,toda la poblacion,urbano,libros y/o material didactico,no monetario,localidades,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,habitantes,NA,1,habitantes,NA,1,habitantes,NA,NA,NA,283.1,338.84,338.82
2014,educacion publica,comision nacional de cultura fisica y deporte,e017,atencion al deporte,atencion al deporte,2007,2014,educacion,NA,cultura fisica y deporte,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,promover el deporte de manera incluyente para fomentar una cultura de salud,proporcion de estudiantes que se incluyen en el registro nacional del deporte,fortalecer la practica de actividades fisicas y deportivas como un componente de la educacion integral,NA,NA,otros: areas internas,ambos,servicios,no monetario,NA,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,areas internas,14,1,areas internas,14.0,1,unidad administrativa,NA,NA,NA,736.85,482.79,482.72
2014,educacion publica,universidad nacional autonoma de mexico,e021,investigacion cientifica y desarrollo tecnologico,investigacion cientifica y desarrollo tecnologico,2007,2014,educacion,NA,investigacion y desarrollo,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,"hacer del desarrollo cientifico, tecnologico y la innovacion pilares para el progreso economico y social sostenible",gasto en investigacion cientifica y desarrollo experimental (gide) ejecutado por la instituciones de educacion superior (ies) respecto al producto interno bruto (pib),impulsar la educacion cientifica y tecnologica como elemento indispensable para la transformacion de mexico en una sociedad del conocimiento,ambos,personas adultas,investigadores | academicos,urbano,financiamiento para proyectos de investigacion y desarrollo,monetario,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,personal docente,293642,1,personal docente de tiempo completo,10410.0,1,investigador | docente | alumno,8981.0,3.06,86.27,10423.22,10262.7,10262.56
2014,educacion publica,instituto mexicano de cinematografia,e022,otorgamiento y promocion de servicios cinematograficos,otorgamiento y promocion de servicios cinematograficos,2007,2014,educacion,NA,cultura,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,ampliar el acceso a la cultura como un medio para la formacion integral de los ciudadanos,proporcion de estudiantes beneficiados con los servicios y actividades artisticos y culturales,promover y difundir el arte y la cultura como recursos formativos privilegiados para impulsar la educacion integral,ambos,toda la poblacion,toda la poblacion,ambos,apoyos a proyectos cinematograficos,no monetario,entidades federativas,NA,1,proyectos cinematograficos apoyados,1129,1,proyectos cinematograficos apoyados,1109.0,1,NA,NA,NA,NA,494.61,579.61,576.94
2014,educacion publica,fideicomiso de los sistemas normalizado de competencia laboral y de certificacion de competencia laboral,e028,normalizacion y certificacion en competencias laborales,normalizacion y certificacion en competencias laborales,2007,2014,trabajo,educacion,ambito laboral,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,desarrollar el potencial humano de los mexicanos con educacion de calidad,numero de certificados de competencia laboral emitidos,"fortalecer la calidad y pertinencia de la educacion media superior, superior y formacion para el trabajo, a fin de que contribuyan al desarrollo de mexico",ambos,personas adultas,NA,urbano,certificaciones y constancias,no monetario,entidades federativas,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,116.97,86.98,86.98
2014,educacion publica,subsecretaria de planeacion y evaluacion de politicas educativas,e032,diseoo y aplicacion de politicas de equidad de genero,diseoo y aplicacion de politicas de equidad de genero,2007,2014,no discriminacion,NA,igualdad de oportunidades,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,garantizar la inclusion y la equidad en el sistema educativo,tasa bruta de escolarizacion de educacion media superior y superior,"asegurar mayor cobertura, inclusion y equidad educativa entre todos los grupos de la poblacion para la construccion de una sociedad mas justa",ambos,toda la poblacion,otros: autoridades educativas,ambos,servicios educativos,no monetario,nacional,NA,1,instituciones,35,1,instituciones,35.0,0,NA,NA,NA,NA,76.4,40.95,40.82
2014,educacion publica,direccion general de profesiones,e039,registro nacional de profesionistas y de asociaciones de profesionistas,"registro nacional de profesionistas | registro y autorizacion de federaciones, colegios de profesionistas y servicio social profesional.",2007,2014,educacion,NA,servicios educativos,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,desarrollar el potencial humano de los mexicanos con educacion de calidad,porcentaje de estudiantes inscritos en programas de licenciatura reconocidos por su calidad.,"fortalecer la calidad y pertinencia de la educacion media superior, superior y formacion para el trabajo, a fin de que contribuyan al desarrollo de mexico",NA,NA,instituciones,ambos,certificaciones y constancias,no monetario,entidades federativas,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,51.2,31.62,31.62
2014,educacion publica,instituto nacional de bellas artes y literatura,e042,servicios educativos culturales,servicios educativos culturales,2007,2014,educacion,NA,cultura,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,ampliar el acceso a la cultura como un medio para la formacion integral de los ciudadanos,proporcion de estudiantes beneficiados con los servicios y actividades artisticos y culturales,promover y difundir el arte y la cultura como recursos formativos privilegiados para impulsar la educacion integral,ambos,jovenes,estudiantes,urbano,servicios educativos,no monetario,entidades federativas,chihuahua | colima | distrito federal | jalisco | michoacan de ocampo | nuevo leon | oaxaca | queretaro | sonora | yucatan,1,estudiantes,NA,1,estudiantes,NA,1,estudiantes,9789.0,NA,NA,833.29,821.39,821.39
2014,educacion publica,instituto nacional de la infraestructura fisica educativa,e047,"diseoo, construccion, certificacion y evaluacion de la infraestructura fisica educativa","construccion y equipamiento de espacios educativos, culturales y deportivos | diseoo, construccion, certificacion y evaluacion de la infraestructura fisica educativa | emision de la normatividad y certificacion de la infraestructura fisica educativa.",2007,2014,educacion,trabajo,infraestructura | equipamiento escolar,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,desarrollar el potencial humano de los mexicanos con educacion de calidad,porcentaje de estudiantes que obtienen el nivel de logro educativo insuficiente en los dominios de espaool y matematicas evaluados por excale en educacion basica,asegurar la calidad de los aprendizajes en la educacion basica y la formacion integral de todos los grupos de la poblacion,NA,NA,entidades federativas,ambos,normatividad y certificacion,no monetario,entidades federativas,NA,1,dependencias estatales,32,1,dependencias estatales,32.0,0,NA,NA,NA,NA,230.74,204.9,203.02
2014,educacion publica,instituto nacional para la educacion de los adultos,e064,atencion a la demanda de educacion para adultos (inea),apoyo para operar el consejo nacional de educacion para la vida y el trabajo (inea) | atencion a la demanda de educacion para adultos (inea).,1981,2014,educacion,trabajo,igualdad de oportunidades,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,garantizar la inclusion y la equidad en el sistema educativo,tasa bruta de escolarizacion de educacion media superior y superior,"asegurar mayor cobertura, inclusion y equidad educativa entre todos los grupos de la poblacion para la construccion de una sociedad mas justa",ambos,personas adultas,personas adultas | personas adultas mayores,ambos,servicios educativos,no monetario,localidades,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,personas,NA,1,personas,NA,1,personas,851035.0,NA,NA,2170.18,2985.62,2983.73
2014,educacion publica,consejo nacional de fomento educativo,e066,prestacion de servicios de educacion inicial y basica comunitaria,programa de educacion inicial y basica para la poblacion rural e indigena | acciones compensatorias para abatir el rezago educativo en educacion inicial y basica.,2014,2014,educacion,no discriminacion,servicios educativos,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,garantizar la inclusion y la equidad en el sistema educativo,"tasa de abandono escolar en educacion primaria, secundaria y media superior por servicio","asegurar mayor cobertura, inclusion y equidad educativa entre todos los grupos de la poblacion para la construccion de una sociedad mas justa",ambos,infancia,grupos vulnerables,rural,servicios educativos,ambos,localidades de alta y muy alta marginacion,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,nioas y nioos,NA,1,nioas y nioos,NA,1,estudiantes,NA,NA,NA,4650.92,4322.78,4322.34
2014,educacion publica,subsecretaria de planeacion y evaluacion de politicas educativas,e067,sistema de informacion y gestion educativa,NA,2014,2014,educacion,NA,infraestructura | equipamiento escolar,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,garantizar la inclusion y la equidad en el sistema educativo,"tasa de abandono escolar en educacion primaria, secundaria y media superior por servicio","asegurar mayor cobertura, inclusion y equidad educativa entre todos los grupos de la poblacion para la construccion de una sociedad mas justa",NA,NA,otros: autoridades educativas,ambos,sistema de informacion,no monetario,entidades federativas,NA,1,usuarios,NA,1,usuarios,NA,1,usuarios,NA,NA,NA,170.43,53.47,53.47
2014,educacion publica,direccion general de desarrollo de la gestion e innovacion educativa,s029,programa escuelas de calidad,programa escuelas de calidad,2001,2014,educacion,NA,servicios educativos,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,desarrollar el potencial humano de los mexicanos con educacion de calidad,porcentaje de estudiantes que obtienen el nivel de logro educativo insuficiente en los dominios de espaool y matematicas evaluados por excale en educacion basica,asegurar la calidad de los aprendizajes en la educacion basica y la formacion integral de todos los grupos de la poblacion,NA,infancia,escuelas,ambos,financiamiento de proyectos sociales,ambos,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | yucatan | zacatecas,1,escuelas,205649,1,escuelas,47e3,1,escuelas,51227.0,24.91,108.99,1515.91,1486.45,1486.45
2014,educacion publica,comision nacional de cultura fisica y deporte,s204,cultura fisica,cultura fisica,2001,2014,educacion,salud,cultura fisica y deporte,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,promover el deporte de manera incluyente para fomentar una cultura de salud,proporcion de estudiantes que se incluyen en el registro nacional del deporte,fortalecer la practica de actividades fisicas y deportivas como un componente de la educacion integral,ambos,toda la poblacion,toda la poblacion,ambos,subsidios,monetario,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,poblacion participante en el programa cultura fisica,4472000,1,poblacion participante en el programa cultura fisica,4472e3,1,poblacion participante del programa de cultura fisica,5647587.0,126.29,126.29,735.51,394.31,394.31
2014,educacion publica,comision nacional de cultura fisica y deporte,s205,deporte,deporte,2003,2014,educacion,salud,infraestructura,inversion en infraestructura,mexico con educacion de calidad,promover el deporte de manera incluyente para fomentar una cultura de salud,proporcion de estudiantes que se incluyen en el registro nacional del deporte,fortalecer la practica de actividades fisicas y deportivas como un componente de la educacion integral,NA,NA,entidades federativas | organizaciones de la sociedad civil,ambos,subsidios,monetario,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,NA,personas morales,32,1,personas morales,64.0,1,personas morales,64.0,200.0,100.0,2112.54,1903.17,1903.17
2014,educacion publica,comision nacional de cultura fisica y deporte,s206,sistema mexicano del deporte de alto rendimiento,sistema mexicano del deporte de alto rendimiento,1993,2014,salud,bienestar economico,cultura fisica y deporte,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,promover el deporte de manera incluyente para fomentar una cultura de salud,proporcion de estudiantes que se incluyen en el registro nacional del deporte,fortalecer la practica de actividades fisicas y deportivas como un componente de la educacion integral,ambos,toda la poblacion,deportistas | atletas | entrenadores,ambos,subsidios,ambos,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,deportistas,25290,1,deportistas,19662.0,1,deportistas,21334.0,84.36,108.5,640.38,1251.16,1251.16
2014,educacion publica,consejo nacional para la cultura y las artes,s207,programa de apoyo a las culturas municipales y comunitarias (pacmyc),programa de apoyo a las culturas municipales y comunitarias,1989,2014,educacion,NA,cultura,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,ampliar el acceso a la cultura como un medio para la formacion integral de los ciudadanos,proporcion de estudiantes beneficiados con los servicios y actividades artisticos y culturales,promover y difundir el arte y la cultura como recursos formativos privilegiados para impulsar la educacion integral,NA,NA,portadores de cultura,ambos,subsidios,monetario,localidades,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,grupos de portadores de cultura,4010,1,grupos de portadores de cultura,1470.0,1,grupos portadores de cultura,1606.0,40.05,109.25,48.59,45.09,45.09
2014,educacion publica,consejo nacional para la cultura y las artes,s208,programa de apoyo a comunidades para restauracion de monumentos y bienes artisticos de propiedad federal (foremoba),programa de apoyo a comunidades para restauracion de monumentos y bienes artisticos de propiedad federal,2002,2014,educacion,NA,cultura,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,ampliar el acceso a la cultura como un medio para la formacion integral de los ciudadanos,proporcion de estudiantes beneficiados con los servicios y actividades artisticos y culturales,promover y difundir el arte y la cultura como recursos formativos privilegiados para impulsar la educacion integral,NA,NA,bienes inmuebles y/o patrimonio cultural,ambos,financiamiento de infraestructura,monetario,localidades,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,monumentos de propiedad federal,25000,1,instituciones en los gobiernos estatales o municipales | organizaciones de la sociedad civil,149.0,1,proyectos de conservacion o restauracion de monumentos que recibieron recursos,121.0,0.48,81.21,50.0,41.97,41.97
2014,educacion publica,consejo nacional para la cultura y las artes,s209,programa de apoyo a la infraestructura cultural de los estados (paice),programa de apoyo a la infraestructura cultural de los estados,1997,2014,educacion,NA,cultura,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,ampliar el acceso a la cultura como un medio para la formacion integral de los ciudadanos,proporcion de estudiantes beneficiados con los servicios y actividades artisticos y culturales,promover y difundir el arte y la cultura como recursos formativos privilegiados para impulsar la educacion integral,NA,NA,instituciones,ambos,financiamiento de infraestructura,monetario,localidades,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,instancias responsables de la promocion y difusion de la cultura,NA,1,instancias postulantes con proyectos de infraestructura cultural,358.0,1,"instancias estatales, municipales | universidades publicas estatales | organizaciones de la sociedad civil",99.0,NA,27.65,600.0,583.19,583.19
2014,educacion publica,direccion general de desarrollo de la gestion e innovacion educativa,s221,programa escuelas de tiempo completo,programa escuelas de tiempo completo,2009,2014,educacion,NA,servicios educativos,ampliar el acceso a una sociedad equitativa e incluyente,mexico con educacion de calidad,desarrollar el potencial humano de los mexicanos con educacion de calidad,numero de escuelas de tiempo completo,asegurar la calidad de los aprendizajes en la educacion basica y la formacion integral de todos los grupos de la poblacion,NA,infancia,escuelas,ambos,subsidios,ambos,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,escuelas,131767,1,escuelas,4e4,1,escuelas,23182.0,17.59,57.96,12000.38,11211.21,11211.21
2014,educacion publica,direccion general de desarrollo de la gestion e innovacion educativa,s222,programa de escuela segura,programa de escuela segura,2007,2014,educacion,NA,servicios educativos,garantizar el ejercicio efectivo de los derechos sociales,mexico con educacion de calidad,desarrollar el potencial humano de los mexicanos con educacion de calidad,porcentaje de estudiantes que obtienen el nivel de logro educativo insuficiente en los dominios de espaool y matematicas evaluados por excale en educacion basica,asegurar la calidad de los aprendizajes en la educacion basica y la formacion integral de todos los grupos de la poblacion,NA,infancia,escuelas,ambos,subsidios,ambos,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,escuelas,46314,1,escuelas,6e4,1,escuelas,60392.0,130.4,100.65,340.0,286.62,286.62
